exchange_id	reaction_name	lower_bound	upper_bound
SOURCE_cpdLPS3	Source of cpdLPS3	-1000.0	1000.0
SINK_cpd00605	SINK for cpd00605 c0	0.0	1000.0
EX_cpd00001_e0	EX H2O (water) e0	-1000.0	1000.0
EX_cpd00067_e0	EX H (proton) e0	-1000.0	1000.0
EX_cpd00011_e0	EX CO2 (carbon dioxide) e0	-1000.0	1000.0
EX_cpd00204_e0	EX CO (carbon monoxide) c0	-1000.0	1000.0
EX_cpd00007_e0	EX O2 (oxygen) e0	-1000.0	1000.0
EX_cpd00149_e0	EX Co2 (cobalt) e0	-1000.0	1000.0
EX_cpd00009_e0	EX PO4 (phosphate e0	-1000.0	1000.0
EX_cpd00254_e0	EX Mg (magnesium) e0	-1000.0	1000.0
EX_cpd00063_e0	EX Ca2 (calcium) e0	-1000.0	1000.0
EX_cpd00030_e0	EX Mn2 (manganese) e0	-1000.0	1000.0
EX_cpd10515_e0	EX Fe2 (iron) e0	-1000.0	1000.0
EX_cpd10516_e0	EX Fe3 (iron) e0	-1000.0	1000.0
EX_cpd00034_e0	EX Zn2 (zinc) e0	-1000.0	1000.0
EX_cpd00205_e0	EX K (potassium) e0	-1000.0	1000.0
EX_cpd00971_e0	EX Na (sodium) e0	-1000.0	1000.0
EX_cpd00104_e0	EX Biotin e0	-1000.0	1000.0
EX_cpd00013_e0	EX NH3 (ammonia) e0	-1000.0	1000.0
EX_cpd00048_e0	EX SO4 (sulfate) e0	-1000.0	1000.0
EX_cpd00076_e0	EX Sucrose e0	-1000.0	1000.0
EX_cpd00027_e0	EX D-glucose e0	-1000.0	1000.0
EX_cpd00036_e0	EX Succinate e0	-1000.0	1000.0
EX_cpd11416_e0	EX Biomass c0	0.0	1000.0
SINK_cpd01553_c0	SINK salicyl alcohol	0.0	1000.0
SINK_cpd00415_c0	SINK hydroquinone	0.0	1000.0
SINK_cpd11408_c0	N-gamma-glutamyl-aminobutyrate	0.0	1000.0
SOURCE_cpdEPSIIn_1_c0	Source of cpdEPSIIn 1 c0	0.0	1000.0
SINK_cpdESPII_c0	Sink for galactoglucan	0.0	1000.0
SINK_DGTS_c0	DGTS Sink	0.0	1000.0
SINK_cpd01155_c0	Sink for cadaverine	0.0	1000.0
SINK_cpdNodF_c0	Sink for nod factor	0.0	1000.0
EX_cpd00851_e0	EX trans-4-hydroxy-L-proline e0	-1000.0	1000.0
EX_cpd02175_e0	EX cis-4-hydroxy-D-proline e0	-1000.0	1000.0
EX_cpd00224_e0	EX L-arabinose e0	-1000.0	1000.0
EX_cpd00567_e0	EX D-proline e0	-1000.0	1000.0
EX_cpd00129_e0	EX L-proline e0	-1000.0	1000.0
EX_cpd00064_e0	EX L-ornithine e0	-1000.0	1000.0
EX_cpd00130_e0	EX L-malate e0	-1000.0	1000.0
EX_cpd00106_e0	EX Fumarate e0	-1000.0	1000.0
EX_cpd00197_e0	EX Protocatechuate e0	-1000.0	1000.0
EX_cpd00392_e0	EX Erythritol e0	-1000.0	1000.0
EX_cpd00366_e0	EX Adonitol e0	-1000.0	1000.0
EX_cpd00417_e0	EX L-arabitol e0	-1000.0	1000.0
EX_cpd00108_e0	EX D-galactose e0	-1000.0	1000.0
EX_cpd00119_e0	EX L-Histidine e0	-1000.0	1000.0
EX_cpd00107_e0	EX L-Leucine e0	-1000.0	1000.0
EX_cpd00156_e0	EX L-Valine e0	-1000.0	1000.0
EX_cpd00322_e0	EX L-Isoleucine e0	-1000.0	1000.0
EX_cpd03198_e0	EX Melibiose e0	-1000.0	1000.0
EX_cpd00382_e0	EX Raffinose e0	-1000.0	1000.0
EX_cpd01133_e0	EX Stachyose e0	-1000.0	1000.0
EX_cpd00132_e0	EX L-Asparagine e0	-1000.0	1000.0
EX_cpd00041_e0	EX L-Aspartate e0	-1000.0	1000.0
EX_cpd00023_e0	EX L-Glutamate e0	-1000.0	1000.0
EX_cpd00053_e0	EX L-Glutamine e0	-1000.0	1000.0
EX_cpd00158_e0	EX D-Cellobiose e0	-1000.0	1000.0
EX_cpd05158_e0	EX Gentiobiose e0	-1000.0	1000.0
EX_cpdMNBE_e0	EX Mannobiose e0	-1000.0	1000.0
EX_cpd01030_e0	EX Salicin e0	-1000.0	1000.0
EX_cpd03696_e0	EX Arbutin e0	-1000.0	1000.0
EX_cpd00122_e0	EX N-Acetyl-D-Glucosamine e0	-1000.0	1000.0
EX_cpd00276_e0	EX D-Glucosamine e0	-1000.0	1000.0
EX_cpd00832_e0	EX N-Acetyl-D-Galactosamine e0	-1000.0	1000.0
EX_cpd01524_e0	EX D-Galactosamine e0	-1000.0	1000.0
EX_cpd00589_e0	EX D-Tagatose e0	-1000.0	1000.0
EX_cpd00100_e0	EX Glycerol e0	-1000.0	1000.0
EX_cpd00794_e0	EX D-Trehalose e0	-1000.0	1000.0
EX_cpd00179_e0	EX Maltose e0	-1000.0	1000.0
EX_cpd20885_e0	EX Turanose e0	-1000.0	1000.0
EX_cpd01262_e0	EX Amylotriose e0	-1000.0	1000.0
EX_cpd01200_e0	EX Palatinose e0	-1000.0	1000.0
EX_cpdMALT_e0	EX Maltitol e0	-1000.0	1000.0
EX_cpd00138_e0	EX D-Mannose e0	-1000.0	1000.0
EX_cpd03884_e0	EX D-Psicose e0	-1000.0	1000.0
EX_cpd00154_e0	EX Xylose e0	-1000.0	1000.0
EX_cpd00121_e0	EX M inositol e0	-1000.0	1000.0
EX_cpd00314_e0	EX D-Mannitol e0	-1000.0	1000.0
EX_cpd00588_e0	EX D-Sorbitol e0	-1000.0	1000.0
EX_cpd01307_e0	EX D-Arabitol e0	-1000.0	1000.0
EX_cpd00105_e0	EX D Ribose e0	-1000.0	1000.0
EX_cpd00020_e0	EX Pyruvic Acid e0	-1000.0	1000.0
EX_cpd00069_e0	EX L-Tyrosine e0	-1000.0	1000.0
EX_cpd00797_e0	EX (R)-3-Hydroxybutyric acid e0	-1000.0	1000.0
EX_cpd00142_e0	EX Acetoacetic Acid e0	-1000.0	1000.0
EX_cpd00051_e0	EX L-arginine e0	-1000.0	1000.0
EX_cpd00082_e0	EX D-Fructose e0	-1000.0	1000.0
EX_cpd00396_e0	EX L-rhamnose e0	-1000.0	1000.0
EX_cpd00208_e0	EX alpha-D-Lactose e0	-1000.0	1000.0
EX_cpd04349_e0	EX Lactulose e0	-1000.0	1000.0
EX_cpd02274_e0	EX Methyl beta-D-galactopyranoside e0	-1000.0	1000.0
EX_cpd00035_e0	EX L-Alanine e0	-1000.0	1000.0
EX_cpd00182_e0	EX Adenosine e0	-1000.0	1000.0
EX_cpd00246_e0	EX Inosine e0	-1000.0	1000.0
EX_cpd00249_e0	EX Uridine e0	-1000.0	1000.0
EX_cpd11588_e0	EX gly pro L e0	-1000.0	1000.0
EX_cpd11589_e0	EX gly asp L e0	-1000.0	1000.0
EX_cpd11592_e0	EX gly glu L e0	-1000.0	1000.0
EX_cpd11593_e0	EX ala L asp L e0	-1000.0	1000.0
EX_cpd11587_e0	EX Ala Gln e0	-1000.0	1000.0
EX_cpd11586_e0	EX ala L glu L e0	-1000.0	1000.0
EX_cpd11585_e0	EX L alanylglycine e0	-1000.0	1000.0
EX_cpd11584_e0	EX Ala His e0	-1000.0	1000.0
EX_cpd11583_e0	EX Ala Leu e0	-1000.0	1000.0
EX_cpd11582_e0	EX ala L Thr L e0	-1000.0	1000.0
EX_cpd11580_e0	EX Gly Gln e0	-1000.0	1000.0
EX_cpd11591_e0	EX Gly Met e0	-1000.0	1000.0
EX_cpd11590_e0	EX Met-Ala e0	-1000.0	1000.0
EX_cpd11581_e0	EX gly asn L e0	-1000.0	1000.0
EX_cpd11603_e0	EX beta-Methyl-D-Glucoside e0	-1000.0	1000.0
EX_cpd00751_e0	EX L-Fucose e0	-1000.0	1000.0
EX_cpd00054_e0	EX L-Serine e0	-1000.0	1000.0
EX_cpd00281_e0	EX gamma-Aminobutyric acid e0	-1000.0	1000.0
EX_cpd00308_e0	EX Malonate e0	-1000.0	1000.0
EX_cpd00029_e0	EX Acetic Acid e0	-1000.0	1000.0
EX_cpd00047_e0	EX Formic Acid e0	-1000.0	1000.0
EX_cpd00098_e0	EX Choline e0	-1000.0	1000.0
EX_cpd00540_e0	EX Glycine betaine e0	-1000.0	1000.0
EX_cpd07061_e0	EX stachydrine e0	-1000.0	1000.0
EX_cpd00128_e0	EX Adenine e0	-1000.0	1000.0
EX_cpd01092_e0	EX Allantoin e0	-1000.0	1000.0
EX_cpd00117_e0	EX D-Alanine e0	-1000.0	1000.0
EX_cpd00186_e0	EX D-Glutamic Acid e0	-1000.0	1000.0
EX_cpd00207_e0	EX Guanine e0	-1000.0	1000.0
EX_cpd00311_e0	EX Guanosine e0	-1000.0	1000.0
EX_cpd00274_e0	EX L-Citrulline e0	-1000.0	1000.0
EX_cpd00073_e0	EX Urea e0	-1000.0	1000.0
EX_cpd01293_e0	EX L-Pyroglutamic Acid e0	-1000.0	1000.0
EX_cpd00378_e0	EX Formamide e0	-1000.0	1000.0
EX_cpd00187_e0	EX Methylamine e0	-1000.0	1000.0
EX_cpd00242_e0	EX H2CO3 e0	-1000.0	1000.0
EX_cpd00075_e0	EX Nitrite e0	-1000.0	1000.0
EX_cpd00209_e0	EX Nitrate e0	-1000.0	1000.0
EX_cpd00184_e0	EX Thymidine e0	-1000.0	1000.0
EX_cpd00151_e0	EX Thymine e0	-1000.0	1000.0
EX_cpd00092_e0	EX Uracil e0	-1000.0	1000.0
EX_cpd00300_e0	EX Uric Acid e0	-1000.0	1000.0
EX_cpd00309_e0	EX XAN e0	-1000.0	1000.0
EX_cpd01217_e0	EX Xanthosine e0	-1000.0	1000.0
EX_cpd00118_e0	EX Putrescine e0	-1000.0	1000.0
EX_cpd00152_e0	EX Agmatine e0	-1000.0	1000.0
EX_cpd00528_e0	EX N2 gas e0	-1000.0	1000.0
EX_cpd00441_e0	EX trimethylamine c0	-1000.0	1000.0
EX_cpd01078_e0	EX Selenide e0	-1000.0	1000.0
EX_cpd00012_e0	EX PPi e0	-1000.0	1000.0
EX_cpd00033_e0	EX Glycine e0	-1000.0	1000.0
EX_cpd00039_e0	EX L Lysine e0	-1000.0	1000.0
EX_cpd00058_e0	EX Cu2 e0	-1000.0	1000.0
EX_cpd00060_e0	EX L Methionine e0	-1000.0	1000.0
EX_cpd00066_e0	EX L-Phenylalanine e0	-1000.0	1000.0
EX_cpd00080_e0	EX Glycerol 3 phosphate e0	-1000.0	1000.0
EX_cpd00084_e0	EX L-Cysteine e0	-1000.0	1000.0
EX_cpd00137_e0	EX Citrate e0	-1000.0	1000.0
EX_cpd00147_e0	EX 5 Methylthioadenosine e0	-1000.0	1000.0
EX_cpd00155_e0	EX Glycogen e0	-1000.0	1000.0
EX_cpd00159_e0	EX L-Lactic Acid e0	-1000.0	1000.0
EX_cpd00161_e0	EX L-Threonine e0	-1000.0	1000.0
EX_cpd00222_e0	EX GLCN e0	-1000.0	1000.0
EX_cpd00226_e0	EX HYXN e0	-1000.0	1000.0
EX_cpd00227_e0	EX L-Homoserine e0	-1000.0	1000.0
EX_cpd00264_e0	EX Spermidine e0	-1000.0	1000.0
EX_cpd00305_e0	EX Thiamin e0	-1000.0	1000.0
EX_cpd00307_e0	EX Cytosine e0	-1000.0	1000.0
EX_cpd00367_e0	EX Cytidine e0	-1000.0	1000.0
EX_cpd00386_e0	EX D-Malic Acid e0	-1000.0	1000.0
EX_cpd00919_e0	EX homocitrate e0	-1000.0	1000.0
EX_cpd01012_e0	EX Cd2 e0	-1000.0	1000.0
EX_cpd01017_e0	EX Cys Gly e0	-1000.0	1000.0
EX_cpd01242_e0	EX Thyminose e0	-1000.0	1000.0
EX_cpd01914_e0	EX L Methionine S oxide e0	-1000.0	1000.0
EX_cpd02233_e0	EX 2-aminoethylphosphonate e0	-1000.0	1000.0
EX_cpd11574_e0	EX molybdate e0	-1000.0	1000.0
EX_cpd11640_e0	H2 gas e0	-1000.0	1000.0
EX_cpd15302_c0	EX glycogenn 1 c0	-1000.0	1000.0
EX_cpd15603_e0	EX Gly Cys e0	-1000.0	1000.0
EX_cpd15604_e0	EX Gly Leu e0	-1000.0	1000.0
EX_cpd15605_e0	EX Gly Phe e0	-1000.0	1000.0
EX_cpd15606_e0	EX Gly Tyr e0	-1000.0	1000.0
EX_cpdFixed_e0	Fixed ammonia e0	-1000.0	1000.0
